"","GSM4495525","GSM4495526","GSM4495528","GSM4495529","GSM4495531","GSM4495532","GSM4495533","GSM4495534","GSM4495535","GSM4495536","GSM4495537","GSM4495538","GSM4495539","GSM4495541"
"TNNI2","5.02","5.04","5.04","5.5","5.09","4.57","4.77","5.12","5.08","5.1","5.07","4.79","4.95","4.7"
"CCDC88B","6.61","6.89","7.66","7.45","7.15","6.9","6.76","6.72","7.19","6.52","6.64","6.76","7.66","7.64"
"CYBA","5.26","5.54","5.56","5.38","5.2","5.37","6.21","5.61","5.16","5.73","5.46","6.17","4.75","5.54"
"ASB2","5.99","6","6.23","5.86","6.29","5.93","6.16","6","6.35","5.95","5.93","5.86","6.53","6.25"
"LTB","7.44","7.65","7.63","7.64","7.63","7.75","7.82","7.45","8.09","7.71","7.67","7.5","7.88","7.46"
"S1PR4","4.89","4.79","4.94","4.67","4.49","4.76","4.55","4.63","4.9","4.67","4.65","4.61","4.67","4.93"
"PSTPIP1","6.71","6.68","6.1","6.51","6.51","6.28","6.91","6.42","6.94","6.42","6.7","6.56","6.14","6.7"
"CD6","7.4","7.44","7.22","7.68","7.45","7.25","7.95","7.15","7.12","6.73","6.91","7.45","7.42","6.92"
"CD27","6.43","5.84","6.61","5.47","6.63","6.14","7.02","6.15","6.2","6.24","5.6","7.5","5.85","6.04"
"WNT10A","5.94","5.7","5.94","5.39","5.23","5.13","6.04","5.87","5.8","5.83","5.78","5.92","5.53","5.55"
"NAPSB","5.96","6.36","5.8","6.45","5.83","6.14","6.89","5.97","5.87","5.58","5.8","6.18","6.6","5.69"
"CD79A","7.56","7.54","6.59","7.79","7.61","7.47","7.53","6.95","7.79","7.1","7.48","7.25","8.21","7.49"
"ADAMTS8","5.19","5.38","5.2","5.5","5.3","5.03","4.93","5.19","5.19","5.02","5.02","4.73","4.82","4.8"
"CPNE7","5.19","4.86","4.86","5.17","4.98","5.43","4.9","5.54","5.31","5.6","4.98","5","5.27","5.24"
"TPSAB1","5.17","5.24","5.44","5.48","5.34","5.25","5.31","5.44","5.3","5.21","5.35","5.96","5.38","5.21"
